_key,name,Pivot Field Values,followers,popularity
1MWyFWQ7erF4XjLph84x5J,C-Trox,Hip-Hop & Rap Essentials,13967,30
3mJ9GlkLzj8Ka7Z7EQaCMi,Watsky,Indie/Alternative Vibes,359472,48
3mJ9GlkLzj8Ka7Z7EQaCMi,Watsky,Global Sounds,359472,48
3mJ9GlkLzj8Ka7Z7EQaCMi,Watsky,Hip-Hop & Rap Essentials,359472,48
79xu36jzq3a5nU8uubNZr9,Maritime,Global Sounds,13061,18
2KjAo6wVc9d2WcxdxSArpV,RY X,Indie/Alternative Vibes,499417,60
5pUo3fmmHT8bhCyHE52hA6,Liam Payne,Indie/Alternative Vibes,10301529,60
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,Indie/Alternative Vibes,22858752,73
0YhUSm86okLWldQVwJkLlP,Bad Suns,Indie/Alternative Vibes,479364,55
3D6cosC5ZOLCpRxt6T3XS7,The Kite String Tangle,Indie/Alternative Vibes,84284,41
3D6cosC5ZOLCpRxt6T3XS7,The Kite String Tangle,Electronic/Dance Beats,84284,41
2FXC3k01G6Gw61bmprjgqS,Hozier,Indie/Alternative Vibes,6123744,80
4aXXDj9aZnlshx7mzj3W1N,Lin-Manuel Miranda,Global Sounds,593610,70
4aXXDj9aZnlshx7mzj3W1N,Lin-Manuel Miranda,Chillout & Relaxation,593610,70
6FSZmn4oKr0o1UpTZ8vXMq,Matthew Schuler,Hip-Hop & Rap Essentials,6575,17
53KwLdlmrlCelAZMaLVZqU,James Blake,Indie/Alternative Vibes,1387057,68
6aZyMrc4doVtZyKNilOmwu,Colbie Caillat,Indie/Alternative Vibes,2507665,66
6aZyMrc4doVtZyKNilOmwu,Colbie Caillat,Electronic/Dance Beats,2507665,66
6aZyMrc4doVtZyKNilOmwu,Colbie Caillat,Chillout & Relaxation,2507665,66
163tK9Wjr9P9DmM0AVK7lm,Lorde,Indie/Alternative Vibes,9999232,74
163tK9Wjr9P9DmM0AVK7lm,Lorde,Global Sounds,9999232,74
4jGPdu95icCKVF31CcFKbS,Gentle Bones,Indie/Alternative Vibes,86410,48
0Ya43ZKWHTKkAbkoJJkwIB,The Wombats,Indie/Alternative Vibes,1058603,59
4Hjb6XIYNt5Qkokl30luY9,Bad Luck,Global Sounds,13681,25
2D4FOOOtWycb3Aw9nY5n3c,Declan McKenna,Indie/Alternative Vibes,950259,61
5ictveRyhWRs8Gt8Dvt1hS,The Front Bottoms,Indie/Alternative Vibes,688796,59
4o0pNHbyj36LPvukNqEug0,The Maine,Indie/Alternative Vibes,563280,55
4o0pNHbyj36LPvukNqEug0,The Maine,Global Sounds,563280,55
3SoOohS0zlj8nLdGmhrKA7,Olivver the Kid,Indie/Alternative Vibes,47178,40
3SoOohS0zlj8nLdGmhrKA7,Olivver the Kid,Global Sounds,47178,40
7KkqUt65v6LMtR369OQ6FB,Jonathan Groff,Global Sounds,109512,60
7KkqUt65v6LMtR369OQ6FB,Jonathan Groff,Chillout & Relaxation,109512,60
0VQKssIfRKfSd7IfW3JIP1,Thomston,Indie/Alternative Vibes,90244,35
3NPpFNZtSTHheNBaWC82rB,X Ambassadors,Indie/Alternative Vibes,2958275,69
3NPpFNZtSTHheNBaWC82rB,X Ambassadors,Global Sounds,2958275,69
1XK7PcHslf4GR1y13VSNuJ,Denim Blue & Miclain Keith,Indie/Alternative Vibes,19648,30
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,Indie/Alternative Vibes,51134327,84
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,Rock Classics,51134327,84
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,Global Sounds,43574550,83
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,Hip-Hop & Rap Essentials,43574550,83
06HL4z0CvFAxyc27GXpf02,Taylor Swift,Indie/Alternative Vibes,93060686,100
0MlOPi3zIDMVrfA9R04Fe3,American Authors,Indie/Alternative Vibes,1563778,63
2DxlS3lTLFIq70S7ap5H3y,Buzzcocks,Indie/Alternative Vibes,409635,47
2DxlS3lTLFIq70S7ap5H3y,Buzzcocks,Global Sounds,409635,47
4F84IBURUo98rz4r61KF70,The White Stripes,Indie/Alternative Vibes,2952357,68
4F84IBURUo98rz4r61KF70,The White Stripes,Hip-Hop & Rap Essentials,2952357,68
4F84IBURUo98rz4r61KF70,The White Stripes,Rock Classics,2952357,68
20qISvAhX20dpIbOOzGK3q,Nas,Hip-Hop & Rap Essentials,3497512,71
2l7iQ6OowUofHBKzlNeLhY,Rev Run,Hip-Hop & Rap Essentials,1819,20
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,Hip-Hop & Rap Essentials,22078095,89
5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,Global Sounds,2622183,71
5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,Hip-Hop & Rap Essentials,2622183,71
5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,Hip-Hop & Rap Essentials,9500989,74
4L3GTE04bW5N7azA9QPhjA,Beenie Man,Indie/Alternative Vibes,483837,57
4L3GTE04bW5N7azA9QPhjA,Beenie Man,Global Sounds,483837,57
4L3GTE04bW5N7azA9QPhjA,Beenie Man,Chillout & Relaxation,483837,57
0Mz5XE0kb1GBnbLQm2VbcO,Mos Def,Hip-Hop & Rap Essentials,1421365,62
01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco,Global Sounds,1887471,63
01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco,Hip-Hop & Rap Essentials,1887471,63
3Isy6kedDrgPYoTS1dazA9,Sean Paul,Indie/Alternative Vibes,4537603,77
3Isy6kedDrgPYoTS1dazA9,Sean Paul,Electronic/Dance Beats,4537603,77
3Isy6kedDrgPYoTS1dazA9,Sean Paul,Global Sounds,4537603,77
68qvLA55vYTJrGUvVHOb4M,Beverly Crawford,Indie/Alternative Vibes,58739,23
68qvLA55vYTJrGUvVHOb4M,Beverly Crawford,Global Sounds,58739,23
34lEZF8ruBmrfX93YZCE9P,Carlton Pearson,Global Sounds,37149,25
1te27TWYSqADLWW5ZDQfnb,Dottie Peoples,Global Sounds,65253,21
30aMh21vdYVIjdVgIgHaqW,Mississippi Mass Choir,Indie/Alternative Vibes,183921,35
30aMh21vdYVIjdVgIgHaqW,Mississippi Mass Choir,Global Sounds,183921,35
47GreR3BUyOc92mB51czCU,Soulful Sounds,Jazz & Blues Lounge,1745,25
3B2PSZmAw3xz6cQ2XMXta7,Dorothy Norwood,Indie/Alternative Vibes,60409,27
3B2PSZmAw3xz6cQ2XMXta7,Dorothy Norwood,Global Sounds,60409,27
49FeZO3eSrJs7oH7lYLU1r,Kelly Price,R&B and Soul Grooves,1015153,46
49FeZO3eSrJs7oH7lYLU1r,Kelly Price,Hip-Hop & Rap Essentials,1015153,46
49FeZO3eSrJs7oH7lYLU1r,Kelly Price,Rock Classics,1015153,46
12Kgt2eahvxNWhD5PnSUde,Mary Mary,R&B and Soul Grooves,629780,50
12Kgt2eahvxNWhD5PnSUde,Mary Mary,Global Sounds,629780,50
52svBMBr5WlF5aKI4RQTaL,Alvin Darling & Celebration,Indie/Alternative Vibes,4892,27
2ndyVAdV9UqF1XjyTJt484,Fred Hammond,Global Sounds,533852,50
47opbYEKDjXnRk9uLscp11,Yolanda Adams,R&B and Soul Grooves,740699,46
47opbYEKDjXnRk9uLscp11,Yolanda Adams,Global Sounds,740699,46
4akybxRTGHJZ1DXjLhJ1qu,Kirk Franklin,R&B and Soul Grooves,1625815,61
4akybxRTGHJZ1DXjLhJ1qu,Kirk Franklin,Global Sounds,1625815,61
3xtft29VZ2knyu7dEC9N7X,Gods Property,Global Sounds,141799,39
5mnS9jJdKQQcRSqFu5YPVe,Auli'i Cravalho,Chillout & Relaxation,121705,63
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,Indie/Alternative Vibes,22673491,82
7nU4hB040gTmHm45YYMvqc,Hannah Montana,Indie/Alternative Vibes,4604195,59
2gUMs9PE8XZVQyzCDqaYmW,High School Musical Cast,Indie/Alternative Vibes,1345616,58
2gUMs9PE8XZVQyzCDqaYmW,High School Musical Cast,Chillout & Relaxation,1345616,58
3WtcOzeKXq5mUINE0bNfnt,Sharpay Evans,Chillout & Relaxation,18325,49
1tX4Yf64m81Ju9THQiXAzn,Traviezoz de la Zierra,Indie/Alternative Vibes,1300700,58
1tX4Yf64m81Ju9THQiXAzn,Traviezoz de la Zierra,Electronic/Dance Beats,1300700,58
1tX4Yf64m81Ju9THQiXAzn,Traviezoz de la Zierra,Chillout & Relaxation,1300700,58
0ssx5sZQzc1nZZF2Ks8qXZ,Grupo Maximo Grado,Indie/Alternative Vibes,1186784,59
